alphabet,dim,size,querytype,method,k,ns
generic,3600,100,miss,prefix,3600,9065.8
generic,3600,100,hit,scan,0,1937.4
generic,3600,100,hit,prefix,1,1959.8
generic,3600,100,hit,prefix,2,1961.8
generic,3600,100,hit,prefix,4,1950.6
generic,3600,100,hit,prefix,8,1954.2
generic,3600,100,hit,prefix,16,1971.7
generic,3600,100,hit,prefix,32,2068.3
generic,3600,100,hit,prefix,64,2197.9
generic,3600,100,hit,prefix,3600,13880.8
generic,3600,100,mix,scan,0,947.9
generic,3600,100,mix,prefix,1,914.4
generic,3600,100,mix,prefix,2,927.5
generic,3600,100,mix,prefix,4,928.8
generic,3600,100,mix,prefix,8,957.5
generic,3600,100,mix,prefix,16,968.7
generic,3600,100,mix,prefix,32,1002.5
generic,3600,100,mix,prefix,64,1102.6
generic,3600,100,mix,prefix,3600,11455.9
generic,3600,158,miss,scan,0,117.5
generic,3600,158,miss,prefix,1,20.2
generic,3600,158,miss,prefix,2,23.1
generic,3600,158,miss,prefix,4,29.1
generic,3600,158,miss,prefix,8,62.3
generic,3600,158,miss,prefix,16,108.1
generic,3600,158,miss,prefix,32,174.8
generic,3600,158,miss,prefix,64,252.4
generic,3600,158,miss,prefix,3600,9050.0
generic,3600,158,hit,scan,0,2008.1
generic,3600,158,hit,prefix,1,2070.1
generic,3600,158,hit,prefix,2,2043.0
generic,3600,158,hit,prefix,4,2071.1
generic,3600,158,hit,prefix,8,2113.9
generic,3600,158,hit,prefix,16,2091.5
generic,3600,158,hit,prefix,32,2245.6
generic,3600,158,hit,prefix,64,2242.5
generic,3600,158,hit,prefix,3600,13762.6
generic,3600,158,mix,scan,0,968.4
generic,3600,158,mix,prefix,1,938.2
generic,3600,158,mix,prefix,2,935.8
generic,3600,158,mix,prefix,4,944.3
generic,3600,158,mix,prefix,8,952.8
generic,3600,158,mix,prefix,16,971.8
generic,3600,158,mix,prefix,32,998.8
generic,3600,158,mix,prefix,64,1122.0
generic,3600,158,mix,prefix,3600,11642.4
generic,3600,200,miss,scan,0,144.7
generic,3600,200,miss,prefix,1,21.7
generic,3600,200,miss,prefix,2,23.1
generic,3600,200,miss,prefix,4,30.0
generic,3600,200,miss,prefix,8,69.1
generic,3600,200,miss,prefix,16,101.5
generic,3600,200,miss,prefix,32,177.8
generic,3600,200,miss,prefix,64,154.5
generic,3600,200,miss,prefix,3600,8860.1
generic,3600,200,hit,scan,0,2138.4
generic,3600,200,hit,prefix,1,2199.1
generic,3600,200,hit,prefix,2,2084.5
generic,3600,200,hit,prefix,4,2151.7
generic,3600,200,hit,prefix,8,2130.3
generic,3600,200,hit,prefix,16,2188.2
generic,3600,200,hit,prefix,32,2172.7
generic,3600,200,hit,prefix,64,2296.3
generic,3600,200,hit,prefix,3600,14125.3
generic,3600,200,mix,scan,0,846.2
generic,3600,200,mix,prefix,1,744.8
generic,3600,200,mix,prefix,2,747.8
generic,3600,200,mix,prefix,4,751.5
generic,3600,200,mix,prefix,8,756.3
generic,3600,200,mix,prefix,16,785.6
